house_age;total_rooms;total_bedrooms;median_income;ocean_proximity;price
52;8;1;15.0001;NEAR BAY;500001
36;49;7;4.625;INLAND;162500
4;2;2;2.375;INLAND;137500
1;6;2;1.625;INLAND;55000
26;18;3;0.536;INLAND;275000
4;42;10;0.536;INLAND;42500
52;16;4;1.125;NEAR OCEAN;60000
26;15;3;5.048;NEAR OCEAN;350000
16;18;6;0.536;<1H OCEAN;350000
16;70;7;7.7197;<1H OCEAN;500001
26;18;4;3.75;NEAR BAY;375000
26;50;5;15.0001;<1H OCEAN;400000
46;55;11;4.125;INLAND;67500
16;20;5;3.875;<1H OCEAN;450000
52;25;5;0.536;NEAR OCEAN;162500
52;24;6;2.375;INLAND;67500
46;30;4;15.0001;NEAR BAY;500001
16;32;4;2.625;NEAR OCEAN;137500
26;28;4;1.625;INLAND;85000
4;18;3;1.625;INLAND;275000
46;54;9;0.536;<1H OCEAN;375000
36;15;5;0.4999;<1H OCEAN;162500
16;50;10;2.625;INLAND;137500
45;19;5;10.2264;INLAND;137500
46;12;4;0.4999;NEAR BAY;67500
36;36;8;5.5179;INLAND;67500
52;22;7;7.5752;<1H OCEAN;67500
49;32;7;2.1875;<1H OCEAN;225000
46;22;11;3.125;NEAR OCEAN;112500
52;24;6;1.625;INLAND;67500
31;40;8;2.125;<1H OCEAN;375000
46;40;10;1.125;INLAND;225000
8;63;9;7.7197;INLAND;275000
26;40;8;7.7197;<1H OCEAN;225000
20;37;11;1.2;INLAND;50000
26;48;8;2.375;INLAND;71300
52;63;12;7.2423;<1H OCEAN;350000
26;48;8;7.7197;NEAR BAY;400000
24;84;14;5.875;<1H OCEAN;193800
16;30;3;4.625;INLAND;250000
36;48;12;4;INLAND;75000
36;98;28;0.536;INLAND;14999
2;200;20;15.0001;<1H OCEAN;350000
26;36;9;1.625;<1H OCEAN;175000
36;21;7;2.375;<1H OCEAN;175000
52;20;4;3.625;INLAND;80000
52;25;5;1.625;NEAR OCEAN;118800
26;54;9;6.1359;NEAR BAY;225000
16;19;19;0.536;INLAND;162500
39;45;8;1.7679;INLAND;450000
28;26;3;8;NEAR OCEAN;275000
20;41;18;1.375;INLAND;55000
52;48;6;10.2264;<1H OCEAN;112500
